location,population,percent_under_18,percent_18_to_24,Percent_25_to_44,percent_45_to_64,percent_65_and_over,median_age,males_per_100_females,males_per_100_females_18_over
United States,281421906,25.7,9.6,30.2,22,12.4,35.3,96.3,93.4
Indiana,6080485,25.9,10.1,29.5,22.1,12.4,35.2,96.3,93.3
Adams Co.,33625,31.1,9.1,26.3,20.1,13.4,32.9,97.7,93.8
Allen Co.,331849,27.7,9.4,30,21.5,11.4,34.1,95.9,92.9
Bartholomew Co.,71435,26.5,7.7,29.7,24,12.1,36.2,96.6,93.9
Benton Co.,9421,27.9,7.1,27.8,21.5,15.7,36.7,98.6,92.1
Blackford Co.,14048,24.7,7.5,27.5,24.9,15.4,38.5,96.7,92.8
Boone Co.,46107,28.3,6.3,30.2,23.4,11.8,36.9,95.4,90.9
Brown Co.,14957,23.3,6.3,27.9,29.6,12.9,40.8,100.9,98.1
Carroll Co.,20165,26.3,7.4,28.7,23.6,13.9,37.2,99.6,96.8
Cass Co.,40930,25.9,8.7,28.4,22.6,14.5,36.7,101,96.9
Clark Co.,96472,24.2,9,30.6,23.8,12.3,36.5,94.7,91.7
Clay Co.,26556,26.1,8.6,27.8,22.5,15.1,37.1,94.3,92.1
Clinton Co.,33866,27.3,8.8,28.4,21.1,14.4,35.6,97.3,93.4
Crawford Co.,10743,25.6,8.4,28.4,25,12.6,37.3,101.4,97.9
Daviess Co.,29820,29,8.6,26.2,21.7,14.6,35.5,97.3,93.6
Dearborn Co.,46109,27.6,7.7,30.2,23.3,11.2,36.2,98.1,96
Decatur Co.,24555,26.3,8.9,29.3,22.3,13.3,35.8,97.6,94.4
DeKalb Co.,40285,28,8.6,30.3,21.7,11.4,34.7,99.2,96.4
Delaware Co.,118769,22.1,16.9,25.6,21.9,13.5,33.8,92.2,89.2
Dubois Co.,39674,27.4,7.9,29.8,22.1,12.9,36.1,97.8,96.3
Elkhart Co.,182791,28.9,9.5,29.8,20.9,10.9,33,98.8,96.1
Fayette Co.,25588,24.3,8.6,27.1,24.5,15.5,38,94,90.7
Floyd Co.,70823,25.8,8.4,29.9,23.6,12.3,36.8,93,89.9
Fountain Co.,17954,26.2,7.2,27.9,23.1,15.6,37.7,98.5,93.6
Franklin Co.,22151,28.1,7.6,29.2,22.6,12.5,35.9,99.7,97.6
Fulton Co.,20511,26,7.7,27.6,23.3,15.4,37.9,97.8,94.4
Gibson Co.,32500,24.8,8.4,28.2,23.1,15.5,38,95.9,93.4
Grant Co.,73403,23.6,11.8,25.8,23.8,15,37.4,92.2,88.9
Greene Co.,33157,24.7,7.7,28.3,24,15.3,38.1,96.8,93.6
Hamilton Co.,182740,30.8,5.6,34.9,21.2,7.5,34.1,96.8,93.5
Hancock Co.,55391,26.5,6.8,30,25.4,11.2,37.4,97.5,94.5
Harrison Co.,34325,25.9,8.7,30.2,23.7,11.4,36.6,99.3,97.2
Hendricks Co.,104093,28,7,32.3,22.9,9.7,35.6,100.6,99.4
Henry Co.,48508,24.2,7.5,27.8,24.8,15.7,38.7,93.2,90.2
Howard Co.,84964,25.6,8.3,28.2,24.6,13.3,37.1,93.7,90
Huntington Co.,38075,26.1,9.9,28.1,21.8,14.1,36.2,94.9,91.7
Jackson Co.,41335,25.5,8.8,30.3,22.1,13.3,35.8,97.3,94.6
Jasper Co.,30043,27.4,10.1,27.7,22.3,12.4,35,98.2,95.4
Jay Co.,21806,27,7.7,27.3,23.3,14.7,36.7,96.3,92.5
Jefferson Co.,31705,24.4,10.6,28.5,23.4,13.1,36.6,98.1,95.6
Jennings Co.,27554,27.7,8.2,30.4,23,10.7,34.6,98.8,96.9
Johnson Co.,115209,27.2,8.7,30.8,22.3,11,34.9,96,92.8
Knox Co.,39256,22.9,13.6,25.4,22.7,15.4,36.7,98.5,95.6
Kosciusko Co.,74057,27.8,8.7,29,22.6,12,35.1,99.7,97.3
LaGrange Co.,34909,33.8,10.3,26.1,19.8,10,29.5,102.6,98.6
Lake Co.,484564,26.8,9.3,28.3,22.6,13,35.9,92.9,89
LaPorte Co.,110106,24.5,8.6,29.7,23.6,13.5,37.1,105.5,105.3
Lawrence Co.,45922,24.6,7.7,28.1,25,14.8,38.2,95.1,91.5
Madison Co.,133358,23.8,9.1,28.3,23.9,14.9,37.4,97.1,94.4
Marion Co.,860454,25.8,10,32.9,20.2,11.1,33.6,93.6,90
Marshall Co.,45128,28.1,8.7,28,22,13.3,35.5,98.7,94.9
Martin Co.,10369,25.2,7.4,27.5,25.6,14.2,38.5,102.5,100.2
Miami Co.,36082,25.9,8.1,29.9,23.3,12.9,36.6,103.1,102
Monroe Co.,120563,18,27.7,27.3,17.9,9.2,27.6,96.3,94
Montgomery Co.,37629,26,9,28.6,22.6,13.9,36.6,99.6,97.8
Morgan Co.,66689,27.2,7.7,30.6,23.8,10.6,36,98.9,96.5
Newton Co.,14566,26.4,7.9,28.5,24.4,12.8,37.3,98.8,96.6
Noble Co.,46275,29,9.2,30,20.8,11,33.3,101.5,99.7
Ohio Co.,5623,24.8,7.8,28.6,25,13.7,38.4,97,96.2
Orange Co.,19306,25.7,8,28,23.5,14.9,37.5,96.7,94.7
Owen Co.,21786,26.6,7.2,28.8,24.5,12.8,37.6,99,97.8
Parke Co.,17241,23.9,7.3,28.7,25.4,14.7,38.9,91.2,85.8
Perry Co.,18899,22.9,9.8,29.2,23.3,14.9,38,107,107.7
Pike Co.,12837,23.9,7.7,28.2,24.9,15.3,38.8,99.9,96.8
Porter Co.,146798,25.8,9.8,28.9,24.6,10.9,36.3,96.4,93.9
Posey Co.,27061,27.3,7.4,29,23.9,12.4,37.4,99.1,96.3
Pulaski Co.,13755,26.9,7.4,27.3,23,15.4,37.8,101.8,99.7
Putnam Co.,36019,23.6,13.2,29.2,21.6,12.3,35.1,108.3,108.9
Randolph Co.,27401,25.2,7.9,27.3,23.8,15.8,38.2,96.2,92.8
Ripley Co.,26523,28.1,7.7,28.9,22,13.4,35.7,96.5,94
Rush Co.,18261,26.7,7.5,28.9,22.2,14.8,36.9,96.6,93.2
St. Joseph Co.,265559,25.7,11.8,28,20.9,13.6,34.4,93.2,89.8
Scott Co.,22960,26.3,9.2,30.3,23.2,11.1,35.1,98.6,95.6
Shelby Co.,43445,26.7,8,30.6,22.6,12.2,36.2,98,95.8
Spencer Co.,20391,26.5,7.3,29.1,24.1,13,37.3,100.4,100
Starke Co.,23556,26.8,8,27.8,23.5,13.9,37,98,95.4
Steuben Co.,33214,25.7,10.4,28.5,23.5,11.9,35.5,102,101.2
Sullivan Co.,21751,22.6,9.4,30.5,23.5,14.1,37.3,115.2,116.3
Switzerland Co.,9065,26.3,8.5,28,24.6,12.6,36.8,101.7,99.2
Tippecanoe Co.,148955,20.9,25.4,27.1,17.4,9.1,27.2,105.4,105.1
Tipton Co.,16577,25,7.2,28.1,25.1,14.5,38.4,95.7,91.6
Union Co.,7349,27.3,7.7,28.5,23.6,12.9,36.5,98.4,93.7
Vanderburgh Co.,171922,23.1,11.5,28.1,22,15.3,36.9,90.2,86.4
Vermillion Co.,16788,23.8,8.1,27.5,24.9,15.8,38.9,95,92
Vigo Co.,105848,22.9,14.3,27.3,21.3,14.2,34.9,96.6,93.8
Wabash Co.,34960,24.5,10.3,26.2,23.3,15.7,37.5,94.2,90.9
Warren Co.,8419,26,6.6,28,25.5,13.9,38.2,102.8,95.7
Warrick Co.,52383,26.9,7.2,29.7,25.5,10.8,37.3,96.6,93.6
Washington Co.,27223,26.5,8.7,29.7,23,12,35.8,100.1,97.2
Wayne Co.,71097,24.2,9.2,27.5,23.4,15.7,37.7,92.4,88.1
Wells Co.,27600,27.3,8.3,28.1,22.2,14.1,36.8,97.3,93.2
White Co.,25267,25.8,7.8,27.8,23.8,14.8,37.6,96.8,93.5
Whitley Co.,30707,26.7,8.1,28.9,23.2,13,36.9,98.5,96
